defined_class	defined_class__name	anatomical_entity	entity_label
PLANP:0000541	more eyes	PLANA:0000036	eye	
PLANP:0000527	more heads	PLANA:0000418	head
PLANP:0000531	more tails	PLANA:0000421	tail
