defined_class	defined_class_name	entity	entity_label	shape	shape_label
PLANP:0000491	ventral curling	PLANA:0000143	ventral region of the whole animal	PATO:0000405	curled
PLANP:0000492	pointy head	PLANA:0000418	head	PATO:0002258	pointed
PLANP:0000493	column-like head	PLANA:0000418	head	PATO:0002063	columnar
PLANP:0000496	pointy tail	PLANA:0000421	tail	PATO:0002258	pointed
PLANP:0000796	epithelial ruffles	PLANA:0002118	epithelium	PATO:0001799	ruffled
PLANP:0000797	pinched head	PLANA:0000418	head	PATO:0002239	hourglass-shaped
PLANP:0000798	pinched tail	PLANA:0000421	tail	PATO:0002239	hourglass-shaped
PLANP:0000799	single sided head pinching	PLANA:0000418	head	PATO:0002164	curved medial
PLANP:0000800	single sided tail pinching	PLANA:0000421	tail	PATO:0002164	curved medial
PLANP:0000811	scorpion tail	PLANA:0003000	dorsal region of tail	PATO:0000405	curled
