defined_class	defined_class_name	anatomical_entity	anatomical_entity_label
PLANP:0000801	edema in animal	PLANA:0000136	whole organism
PLANP:0000802	head edema	PLANA:0000418	head
PLANP:0000803	tail edema	PLANA:0000421	tail
