defined_class	defined_class_label	entity	entity_label	size	size_label
PLANP:0000494	skinny head	PLANA:0000418	head	PATO:0000599	decreased width
PLANP:0000503	skinny tail	PLANA:0000421	tail	PATO:0000599	decreased width
